current_balance,days_since,is_Auto & Transport,is_Education,is_Entertainment,is_Food & Dining,is_Health & Fitness,is_Pets,is_Taxes,is_Travel,is_Uncategorized,is_Utilities
25265.46,69,0,0,0,0,0,1,0,0,0,0
39499.08,30214,0,0,0,0,0,0,0,1,0,0
26526.15,138,0,0,1,0,0,0,0,0,0,0
29224.58,246,0,0,0,0,0,0,1,0,0,0
16859.38,184,0,0,0,0,0,0,0,0,0,1
45612.42,25,1,0,0,0,0,0,0,0,0,0
36157.07,30186,0,0,0,0,0,0,0,0,1,0
35616.33,322,0,0,0,0,1,0,0,0,0,0
36267.54,120,0,0,0,0,0,0,1,0,0,0
32642.88,113,1,0,0,0,0,0,0,0,0,0
17273.71,232,0,0,0,0,0,0,0,0,0,1
26975.76,268,1,0,0,0,0,0,0,0,0,0
47506.17,263,0,1,0,0,0,0,0,0,0,0
14449.15,284,0,0,0,0,0,1,0,0,0,0
28632.71,112,1,0,0,0,0,0,0,0,0,0
41914.98,11,1,0,0,0,0,0,0,0,0,0
34426.22,264,0,0,0,0,1,0,0,0,0,0
42434.4,30133,0,0,0,0,0,0,1,0,0,0
33394.1,195,0,0,0,0,0,0,1,0,0,0
10658.93,311,0,0,0,0,0,1,0,0,0,0
35036.85,30313,0,0,0,0,0,0,0,1,0,0
44152.89,201,0,0,0,0,1,0,0,0,0,0
3070.87,261,0,0,0,1,0,0,0,0,0,0
46092.68,311,0,0,1,0,0,0,0,0,0,0
606.9,190,0,0,0,0,0,0,0,0,1,0
39218.2,30094,0,0,0,0,0,0,0,0,1,0
18325.86,269,0,0,0,0,0,1,0,0,0,0
32116.63,26,0,0,0,0,0,0,0,0,1,0
22118.24,174,0,0,0,0,0,0,0,1,0,0
19271.95,358,0,0,1,0,0,0,0,0,0,0
36489.64,123,1,0,0,0,0,0,0,0,0,0
5101.49,346,0,1,0,0,0,0,0,0,0,0
19245.69,177,0,0,0,0,0,0,0,0,0,1
2780.33,351,0,0,0,0,0,0,1,0,0,0
48760.57,165,0,0,0,0,0,1,0,0,0,0
16929.87,112,0,0,0,0,1,0,0,0,0,0
38701.07,351,0,0,0,0,0,0,0,0,0,1
15231.73,30071,0,0,0,0,0,0,1,0,0,0
11645.23,149,1,0,0,0,0,0,0,0,0,0
48799.12,200,1,0,0,0,0,0,0,0,0,0
19679.79,30237,0,0,0,0,0,0,0,1,0,0
3684.56,213,1,0,0,0,0,0,0,0,0,0
21270.76,195,0,0,1,0,0,0,0,0,0,0
11548.15,349,0,0,0,0,1,0,0,0,0,0
31540.5,196,0,0,1,0,0,0,0,0,0,0
37759.61,255,1,0,0,0,0,0,0,0,0,0
27579.38,164,0,1,0,0,0,0,0,0,0,0
34744.16,30101,0,0,0,0,0,0,0,0,1,0
15239.45,120,0,0,1,0,0,0,0,0,0,0
18910.26,166,0,0,0,0,0,1,0,0,0,0
33559.31,76,1,0,0,0,0,0,0,0,0,0
17630.83,155,0,0,0,1,0,0,0,0,0,0
11612.53,30257,0,0,0,0,0,0,0,0,1,0
42638.93,43,0,0,0,0,0,0,0,0,0,1
40662.66,350,0,1,0,0,0,0,0,0,0,0
33430.38,128,0,0,0,0,0,0,0,0,0,1
41046.46,346,0,0,0,1,0,0,0,0,0,0
1759.27,305,0,0,0,0,1,0,0,0,0,0
46381.69,188,0,0,1,0,0,0,0,0,0,0
18035.16,30352,0,0,0,0,0,0,0,0,1,0
717.57,19,0,0,0,1,0,0,0,0,0,0
44281.19,300,0,0,0,0,0,0,1,0,0,0
3376.41,212,0,0,0,0,1,0,0,0,0,0
5172.31,198,0,0,0,0,0,1,0,0,0,0
44461.28,258,0,0,0,0,1,0,0,0,0,0
24969.03,30041,0,0,0,0,0,0,0,0,1,0
24373.33,166,0,0,0,0,0,0,1,0,0,0
40339.09,144,0,0,0,1,0,0,0,0,0,0
36593.87,177,1,0,0,0,0,0,0,0,0,0
16468.57,30286,0,0,0,0,0,0,0,0,1,0
10655.42,9,0,1,0,0,0,0,0,0,0,0
9539.08,185,0,0,0,0,1,0,0,0,0,0
46043.3,236,0,0,0,0,1,0,0,0,0,0
4834.92,305,0,0,0,0,1,0,0,0,0,0
15751.04,238,0,0,1,0,0,0,0,0,0,0
21685.98,144,0,0,0,0,1,0,0,0,0,0
46453.55,227,0,1,0,0,0,0,0,0,0,0
13661.82,30281,0,0,0,0,0,0,0,0,1,0
43531.62,306,0,0,1,0,0,0,0,0,0,0
46324.06,30213,0,0,0,0,0,0,0,0,1,0
12318.16,40,0,0,0,0,1,0,0,0,0,0
20106.13,30179,0,0,0,0,0,0,0,1,0,0
17080.11,30288,0,0,0,0,0,0,0,0,1,0
37436.18,176,0,0,0,0,0,0,0,0,0,1
2101.82,342,1,0,0,0,0,0,0,0,0,0
35974.37,95,0,0,0,0,1,0,0,0,0,0
3496.77,220,0,0,1,0,0,0,0,0,0,0
25247.76,291,0,0,1,0,0,0,0,0,0,0
19033.15,30253,0,0,0,0,0,0,0,0,1,0
39733.98,178,0,0,0,0,0,1,0,0,0,0
31324.66,56,0,1,0,0,0,0,0,0,0,0
24014.44,179,0,0,0,0,1,0,0,0,0,0
9650.61,108,0,0,1,0,0,0,0,0,0,0
6624.68,21,1,0,0,0,0,0,0,0,0,0
22497.69,290,0,0,0,0,1,0,0,0,0,0
21344.33,133,1,0,0,0,0,0,0,0,0,0
13510.24,132,0,0,0,1,0,0,0,0,0,0
15883.0,30221,0,0,0,0,0,0,0,0,1,0
13082.45,178,0,0,1,0,0,0,0,0,0,0
22523.52,28,0,0,0,0,0,0,1,0,0,0
25165.04,73,0,0,1,0,0,0,0,0,0,0
3514.22,352,0,0,0,0,0,1,0,0,0,0
10478.92,338,1,0,0,0,0,0,0,0,0,0
1107.0,30065,0,0,0,0,0,0,0,1,0,0
47576.49,30292,0,0,0,0,0,0,0,0,1,0
14748.12,67,0,0,0,1,0,0,0,0,0,0
35490.3,30134,0,0,0,0,0,0,0,1,0,0
35729.17,315,0,0,0,0,0,0,0,1,0,0
33223.85,30270,0,0,0,0,0,0,0,1,0,0
26187.72,30364,0,0,0,0,0,0,0,0,1,0
42146.6,132,1,0,0,0,0,0,0,0,0,0
47595.6,227,0,0,0,0,0,0,0,1,0,0
33640.01,158,1,0,0,0,0,0,0,0,0,0
19747.44,166,0,0,0,0,0,0,0,1,0,0
45981.09,87,0,0,0,1,0,0,0,0,0,0
14076.76,246,0,0,0,1,0,0,0,0,0,0
24310.35,6,0,0,0,0,0,0,0,0,0,1
29087.42,135,0,0,0,0,0,0,1,0,0,0
18236.95,123,0,0,0,0,0,0,0,0,0,1
1792.21,43,0,0,0,0,0,0,1,0,0,0
21435.81,250,0,0,0,0,0,0,1,0,0,0
39641.54,132,0,0,0,0,0,0,1,0,0,0
16291.73,131,0,0,0,0,0,0,0,1,0,0
24591.75,2,0,0,0,0,0,0,1,0,0,0
33515.29,77,0,0,0,0,1,0,0,0,0,0
6302.63,30101,0,0,0,0,0,0,0,1,0,0
29981.82,308,0,1,0,0,0,0,0,0,0,0
24649.23,98,0,1,0,0,0,0,0,0,0,0
17087.15,30353,0,0,0,0,0,0,0,0,1,0
14.32,173,0,1,0,0,0,0,0,0,0,0
10333.05,58,0,0,0,0,0,0,0,1,0,0
29635.03,78,0,0,0,1,0,0,0,0,0,0
34192.36,251,1,0,0,0,0,0,0,0,0,0
43783.13,179,0,0,0,1,0,0,0,0,0,0
18579.07,4,1,0,0,0,0,0,0,0,0,0
6478.93,328,0,0,0,0,1,0,0,0,0,0
43464.15,204,1,0,0,0,0,0,0,0,0,0
9306.5,219,0,0,0,0,0,0,0,0,1,0
2590.05,127,0,0,0,0,0,1,0,0,0,0
35596.77,30161,0,0,0,0,0,0,0,0,1,0
25679.56,249,0,1,0,0,0,0,0,0,0,0
8497.12,93,0,0,0,0,0,0,1,0,0,0
18898.14,30238,0,0,0,0,0,0,0,1,0,0
43293.6,322,0,0,0,0,0,0,0,0,0,1
6315.5,30132,0,0,0,0,0,1,0,0,0,0
45160.42,264,0,0,0,0,0,0,0,1,0,0
458.75,51,0,0,0,0,0,0,1,0,0,0
2081.54,30115,0,0,0,0,0,0,0,0,1,0
13788.51,143,0,1,0,0,0,0,0,0,0,0
33466.32,80,1,0,0,0,0,0,0,0,0,0
29079.39,260,0,0,1,0,0,0,0,0,0,0
18216.47,30259,0,0,0,0,0,0,0,1,0,0
13234.92,159,0,0,0,0,0,1,0,0,0,0
36124.32,311,0,0,0,0,0,0,0,1,0,0
20487.34,175,1,0,0,0,0,0,0,0,0,0
9660.01,45,0,1,0,0,0,0,0,0,0,0
17196.38,271,0,0,1,0,0,0,0,0,0,0
704.32,298,0,0,1,0,0,0,0,0,0,0
30150.41,13,0,0,1,0,0,0,0,0,0,0
22521.76,102,0,0,0,0,1,0,0,0,0,0
39748.68,349,0,1,0,0,0,0,0,0,0,0
13908.98,281,0,0,1,0,0,0,0,0,0,0
38433.19,74,0,0,0,0,1,0,0,0,0,0
3040.51,216,1,0,0,0,0,0,0,0,0,0
14287.62,253,0,0,0,0,0,0,0,0,0,1
39834.18,292,0,0,1,0,0,0,0,0,0,0
30895.18,30226,0,0,0,0,0,0,0,0,1,0
3021.53,82,0,0,0,0,0,0,1,0,0,0
31703.82,184,0,0,0,1,0,0,0,0,0,0
41869.39,317,0,0,0,0,0,0,0,0,1,0
14757.8,306,0,0,0,0,1,0,0,0,0,0
11614.66,32,0,0,0,0,0,1,0,0,0,0
47224.24,88,0,1,0,0,0,0,0,0,0,0
37054.27,321,0,0,0,0,1,0,0,0,0,0
18493.07,232,0,0,1,0,0,0,0,0,0,0
12519.97,77,0,0,0,0,1,0,0,0,0,0
36627.79,30203,0,0,0,0,0,0,0,1,0,0
16228.01,252,0,0,0,0,0,0,0,0,0,1
3975.18,320,0,0,0,0,0,0,1,0,0,0
25115.1,98,0,0,0,0,0,1,0,0,0,0
26153.4,291,0,0,0,0,1,0,0,0,0,0
19993.32,313,0,0,0,0,1,0,0,0,0,0
31898.97,30005,0,0,0,0,0,0,1,0,0,0
41514.82,348,1,0,0,0,0,0,0,0,0,0
36327.94,301,0,0,1,0,0,0,0,0,0,0
28118.35,265,0,0,0,0,0,0,0,0,0,1
18429.93,318,0,0,0,0,0,0,0,1,0,0
27147.12,15,0,0,1,0,0,0,0,0,0,0
34587.29,281,0,0,0,0,0,1,0,0,0,0
11122.31,285,0,0,0,0,0,1,0,0,0,0
39910.11,129,0,0,0,1,0,0,0,0,0,0
43432.77,258,0,0,0,0,1,0,0,0,0,0
22459.24,326,1,0,0,0,0,0,0,0,0,0
32385.57,284,0,0,0,0,0,0,1,0,0,0
226.89,90,0,0,0,0,0,1,0,0,0,0
31671.52,295,1,0,0,0,0,0,0,0,0,0
26791.39,360,0,0,0,0,1,0,0,0,0,0
12614.58,54,0,0,1,0,0,0,0,0,0,0
1145.5,30301,0,0,0,0,0,0,0,0,1,0
25420.63,287,0,0,0,0,0,0,0,0,0,1
7747.91,15,0,0,0,0,0,0,0,1,0,0
44270.6,209,0,0,0,0,1,0,0,0,0,0
15765.25,96,1,0,0,0,0,0,0,0,0,0
25528.49,30342,0,0,0,0,0,0,0,0,1,0
37998.35,140,0,0,0,0,1,0,0,0,0,0
34501.01,30222,0,0,0,0,0,0,0,0,1,0
38723.41,155,0,0,0,0,1,0,0,0,0,0
26901.1,214,0,0,0,0,0,0,0,0,0,1
23703.21,185,0,1,0,0,0,0,0,0,0,0
25070.94,96,0,0,0,1,0,0,0,0,0,0
47132.99,30109,0,0,0,0,0,0,0,0,1,0
16738.32,115,0,0,1,0,0,0,0,0,0,0
21517.47,269,0,0,0,0,0,1,0,0,0,0
36908.43,121,0,1,0,0,0,0,0,0,0,0
27815.37,107,0,0,1,0,0,0,0,0,0,0
19361.17,157,0,0,1,0,0,0,0,0,0,0
15727.86,311,0,0,1,0,0,0,0,0,0,0
19947.91,136,0,0,0,0,1,0,0,0,0,0
33690.71,233,0,0,0,0,0,0,0,0,0,1
38473.3,136,0,0,0,0,0,0,0,0,0,1
29238.96,99,0,0,0,0,0,0,0,0,0,1
47320.14,37,0,1,0,0,0,0,0,0,0,0
24251.41,30106,0,0,0,0,0,0,0,1,0,0
32568.58,154,0,0,0,0,0,1,0,0,0,0
46292.01,146,0,0,0,0,0,1,0,0,0,0
8431.54,264,0,0,0,0,0,1,0,0,0,0
27543.63,30146,0,0,0,0,0,0,0,0,1,0
7164.92,252,0,0,1,0,0,0,0,0,0,0
25217.12,345,1,0,0,0,0,0,0,0,0,0
37280.45,314,0,0,0,0,1,0,0,0,0,0
13948.27,16,0,0,1,0,0,0,0,0,0,0
30164.68,277,1,0,0,0,0,0,0,0,0,0
5173.96,192,0,0,0,0,0,0,1,0,0,0
6693.65,30234,0,0,0,0,0,0,0,0,1,0
11459.26,18,0,0,1,0,0,0,0,0,0,0
28986.47,153,0,0,0,0,0,0,1,0,0,0
33288.43,30010,0,0,0,0,0,0,0,0,1,0
40391.76,135,0,0,0,0,0,0,0,0,0,1
33219.67,30059,0,0,0,0,0,0,0,1,0,0
28114.08,120,0,1,0,0,0,0,0,0,0,0
1563.57,324,0,0,0,0,0,1,0,0,0,0
46499.14,30238,0,0,0,0,0,0,0,1,0,0
10997.58,30088,0,0,0,0,0,0,0,0,1,0
46025.86,236,0,0,0,1,0,0,0,0,0,0
22370.57,166,0,0,0,0,1,0,0,0,0,0
7595.3,345,0,0,0,0,0,0,0,1,0,0
22450.28,291,0,0,0,0,0,0,0,1,0,0
39720.05,30082,0,0,0,0,0,0,0,0,1,0
35047.05,211,0,0,0,0,0,1,0,0,0,0
44621.63,30247,0,0,0,0,0,0,0,0,1,0
5813.41,30146,0,0,0,0,0,0,0,0,1,0
33509.96,290,0,0,1,0,0,0,0,0,0,0
39784.92,30326,0,0,0,0,0,0,1,0,0,0
25830.28,30319,0,0,0,0,0,0,0,0,1,0
45992.4,193,0,0,0,0,0,0,1,0,0,0
10889.55,132,0,0,0,0,0,1,0,0,0,0
27773.48,62,0,1,0,0,0,0,0,0,0,0
46438.62,213,1,0,0,0,0,0,0,0,0,0
42145.23,30050,0,0,0,0,0,0,0,0,1,0
45920.68,178,1,0,0,0,0,0,0,0,0,0
1468.31,116,0,0,1,0,0,0,0,0,0,0
38379.76,257,0,0,0,0,0,0,0,1,0,0
24071.56,165,0,0,0,0,0,1,0,0,0,0
40081.84,34,0,0,0,0,0,1,0,0,0,0
1114.12,355,0,0,0,0,1,0,0,0,0,0
32985.87,8,0,0,0,1,0,0,0,0,0,0
29753.95,267,0,0,0,1,0,0,0,0,0,0
49868.31,120,1,0,0,0,0,0,0,0,0,0
10018.35,140,1,0,0,0,0,0,0,0,0,0
8906.43,207,0,0,0,0,0,0,0,0,0,1
36035.77,320,0,0,1,0,0,0,0,0,0,0
35926.66,90,0,0,0,0,0,0,1,0,0,0
3089.22,106,0,0,0,0,1,0,0,0,0,0
19607.0,161,0,0,0,0,1,0,0,0,0,0
24626.59,159,0,0,0,0,0,0,0,0,0,1
31597.87,127,0,0,0,0,0,1,0,0,0,0
30932.08,98,0,0,0,0,0,1,0,0,0,0
6874.67,234,0,0,0,0,0,0,0,1,0,0
18081.42,248,0,0,1,0,0,0,0,0,0,0
6965.46,272,0,0,0,0,0,1,0,0,0,0
14598.35,157,0,0,0,0,1,0,0,0,0,0
5498.96,30360,0,0,0,0,0,0,0,0,1,0
35618.13,19,1,0,0,0,0,0,0,0,0,0
22225.45,143,0,0,0,0,0,0,0,0,1,0
43007.37,156,1,0,0,0,0,0,0,0,0,0
20531.98,186,0,0,0,0,0,1,0,0,0,0
16471.28,224,0,0,0,0,0,0,1,0,0,0
7633.09,250,0,0,0,0,0,0,1,0,0,0
8181.86,277,0,0,0,1,0,0,0,0,0,0
33456.03,25,0,0,1,0,0,0,0,0,0,0
14433.0,30305,0,0,0,0,0,0,0,0,1,0
42085.29,30287,0,0,0,0,0,0,0,0,1,0
42515.44,271,1,0,0,0,0,0,0,0,0,0
3925.89,30355,0,0,0,0,0,0,0,0,1,0
42001.42,95,0,0,0,0,0,1,0,0,0,0
42030.03,72,0,1,0,0,0,0,0,0,0,0
34676.32,350,0,0,0,1,0,0,0,0,0,0
19147.37,300,0,0,0,1,0,0,0,0,0,0
6743.0,301,0,0,0,0,1,0,0,0,0,0
42916.79,99,0,0,0,0,0,0,1,0,0,0
18517.39,157,0,0,0,0,0,0,0,1,0,0
39348.27,248,0,0,0,0,0,0,0,0,0,1
18083.89,112,0,0,0,0,0,0,1,0,0,0
13236.47,30064,0,0,0,0,0,0,0,1,0,0
48675.36,119,0,0,0,0,0,0,0,0,0,1
20524.85,92,0,0,0,0,0,0,1,0,0,0
8124.31,174,0,0,0,0,0,0,0,0,0,1
6924.08,130,0,1,0,0,0,0,0,0,0,0
41432.9,188,0,0,0,0,1,0,0,0,0,0
45391.72,90,0,1,0,0,0,0,0,0,0,0
48673.44,260,0,0,0,0,1,0,0,0,0,0
21698.97,87,0,0,0,1,0,0,0,0,0,0
32803.56,30083,0,0,0,0,0,0,0,1,0,0
4754.83,191,0,0,0,0,0,0,0,1,0,0
112.65,23,1,0,0,0,0,0,0,0,0,0
6870.77,51,0,0,0,0,0,0,0,0,0,1
41407.5,140,0,0,0,0,0,1,0,0,0,0
561.04,30098,0,0,0,0,0,0,0,0,1,0
33554.51,30102,0,0,0,0,0,0,1,0,0,0
20953.4,50,0,0,0,0,0,0,1,0,0,0
33649.12,30086,0,0,0,0,0,0,0,0,1,0
43153.4,159,0,0,0,0,0,0,0,0,0,1
3445.48,150,1,0,0,0,0,0,0,0,0,0
45015.61,141,0,0,0,0,0,0,1,0,0,0
1380.16,66,1,0,0,0,0,0,0,0,0,0
668.28,69,0,0,0,0,0,0,1,0,0,0
8340.63,30160,0,0,0,0,0,0,0,0,1,0
15664.04,30280,0,0,0,0,0,0,1,0,0,0
3224.52,13,0,0,0,0,0,0,0,0,0,1
41900.25,19,0,1,0,0,0,0,0,0,0,0
41592.14,235,0,0,0,1,0,0,0,0,0,0
28957.03,146,0,0,0,0,0,1,0,0,0,0
29643.16,319,0,0,0,0,0,0,1,0,0,0
18117.58,30356,0,0,0,0,0,0,0,1,0,0
23596.75,250,0,0,0,0,0,0,0,1,0,0
13389.8,220,0,1,0,0,0,0,0,0,0,0
49690.13,267,0,0,0,0,0,0,0,0,0,1
544.63,30050,0,0,0,0,0,0,0,0,1,0
29021.46,348,1,0,0,0,0,0,0,0,0,0
1490.54,234,1,0,0,0,0,0,0,0,0,0
29338.86,134,0,0,0,1,0,0,0,0,0,0
24949.36,131,0,0,0,0,0,1,0,0,0,0
28721.38,117,0,0,0,0,0,1,0,0,0,0
19466.55,328,1,0,0,0,0,0,0,0,0,0
43140.0,335,0,0,0,0,0,1,0,0,0,0
5587.65,354,0,1,0,0,0,0,0,0,0,0
22051.74,247,0,1,0,0,0,0,0,0,0,0
7263.81,315,1,0,0,0,0,0,0,0,0,0
29712.68,9,0,0,0,0,1,0,0,0,0,0
33656.06,150,0,0,0,0,0,1,0,0,0,0
38173.03,263,1,0,0,0,0,0,0,0,0,0
10689.41,305,0,0,0,0,1,0,0,0,0,0
41462.62,332,0,1,0,0,0,0,0,0,0,0
4669.5,274,0,0,0,0,1,0,0,0,0,0
40226.66,238,0,0,0,0,0,0,0,0,0,1
26134.4,330,0,0,0,0,1,0,0,0,0,0
39238.86,21,0,0,0,1,0,0,0,0,0,0
34512.17,80,0,0,0,0,1,0,0,0,0,0
35520.99,206,0,0,1,0,0,0,0,0,0,0
13222.5,30241,0,0,0,0,0,0,0,0,1,0
1021.66,230,0,0,0,0,0,0,0,0,0,1
22509.49,16,1,0,0,0,0,0,0,0,0,0
38959.05,119,0,0,0,0,0,1,0,0,0,0
26266.46,3,1,0,0,0,0,0,0,0,0,0
6785.7,130,0,0,0,0,0,0,0,0,0,1
20695.48,110,0,1,0,0,0,0,0,0,0,0
13965.02,117,0,1,0,0,0,0,0,0,0,0
20314.03,30105,0,0,0,0,0,0,0,0,1,0
7215.12,169,1,0,0,0,0,0,0,0,0,0
31023.44,9,0,0,0,1,0,0,0,0,0,0
42403.44,30329,0,0,0,0,0,0,0,0,1,0
43564.85,178,0,0,0,0,0,0,0,0,0,1
6337.81,294,0,0,0,0,0,0,0,0,0,1
29462.8,323,0,0,0,0,0,0,0,1,0,0
32802.29,327,0,0,0,0,0,0,1,0,0,0
28797.69,30128,0,0,0,0,0,0,0,0,1,0
48990.42,104,0,0,0,0,0,0,0,1,0,0
21783.25,295,0,0,0,0,0,0,0,1,0,0
43846.05,320,0,1,0,0,0,0,0,0,0,0
27168.49,252,0,0,0,1,0,0,0,0,0,0
37083.87,197,0,0,0,1,0,0,0,0,0,0
931.38,30193,0,0,0,0,0,0,0,1,0,0
25626.13,157,0,0,0,0,1,0,0,0,0,0
5356.04,30222,0,0,0,0,0,0,0,1,0,0
24439.94,89,0,0,0,1,0,0,0,0,0,0
2331.64,232,0,0,0,0,0,0,0,0,0,1
21654.73,162,0,0,0,0,0,0,0,1,0,0
19047.29,77,1,0,0,0,0,0,0,0,0,0
36747.66,21,0,1,0,0,0,0,0,0,0,0
12668.93,5,0,0,0,0,1,0,0,0,0,0
1400.94,337,0,0,0,0,0,0,1,0,0,0
61.73,276,0,0,1,0,0,0,0,0,0,0
38520.58,165,0,0,0,0,0,0,0,1,0,0
30677.55,352,0,0,0,0,0,0,1,0,0,0
1743.3,104,0,0,1,0,0,0,0,0,0,0
29359.59,296,0,1,0,0,0,0,0,0,0,0
7284.65,40,0,0,0,1,0,0,0,0,0,0
12724.14,247,0,1,0,0,0,0,0,0,0,0
15307.96,30178,0,0,0,0,0,0,1,0,0,0
37587.67,25,1,0,0,0,0,0,0,0,0,0
28425.72,203,0,0,1,0,0,0,0,0,0,0
6764.98,266,0,0,0,1,0,0,0,0,0,0
12472.56,347,0,0,0,0,0,0,1,0,0,0
40763.55,30033,0,0,0,0,0,0,1,0,0,0
4316.83,16,0,0,0,0,0,0,0,1,0,0
28976.87,129,0,0,0,0,0,0,0,1,0,0
8932.1,285,0,0,0,0,0,0,0,0,0,1
9518.05,30275,0,0,0,0,0,0,0,0,1,0
3923.43,21,0,0,0,1,0,0,0,0,0,0
38367.88,30084,0,0,0,0,0,0,1,0,0,0
15486.53,170,0,0,0,0,1,0,0,0,0,0
49712.67,102,0,0,0,0,0,0,0,0,0,1
32069.02,262,1,0,0,0,0,0,0,0,0,0
13848.21,350,0,0,0,0,0,0,0,1,0,0
30765.06,30326,0,0,0,0,0,1,0,0,0,0
28092.73,205,0,1,0,0,0,0,0,0,0,0
9195.52,291,0,0,1,0,0,0,0,0,0,0
35165.65,30280,0,0,0,0,0,0,0,0,1,0
16417.22,136,0,0,0,0,0,0,0,1,0,0
30744.93,159,0,0,0,0,0,0,0,1,0,0
24995.4,317,0,0,0,0,0,1,0,0,0,0
8923.6,30273,0,0,0,0,0,0,1,0,0,0
32626.32,67,0,0,0,0,0,0,0,1,0,0
13399.75,306,0,0,1,0,0,0,0,0,0,0
10245.65,61,0,0,1,0,0,0,0,0,0,0
14316.97,322,0,0,0,0,1,0,0,0,0,0
1342.6,341,0,0,1,0,0,0,0,0,0,0
21378.05,104,0,0,1,0,0,0,0,0,0,0
14518.05,30359,0,0,0,0,0,0,1,0,0,0
24565.79,310,0,0,0,0,0,1,0,0,0,0
5305.24,257,1,0,0,0,0,0,0,0,0,0
8451.88,30,0,0,0,0,0,1,0,0,0,0
16742.81,30296,0,0,0,0,0,0,0,1,0,0
47532.19,362,0,1,0,0,0,0,0,0,0,0
41234.09,30342,0,0,0,0,0,0,0,1,0,0
16618.95,30058,0,0,0,0,0,0,0,1,0,0
1921.45,148,0,0,0,1,0,0,0,0,0,0
34930.51,30323,0,0,0,0,0,0,0,0,1,0
20340.11,328,0,0,0,0,0,1,0,0,0,0
35045.47,323,0,0,0,0,0,0,1,0,0,0
38706.52,162,0,0,0,0,0,0,0,0,0,1
26911.01,250,0,1,0,0,0,0,0,0,0,0
2244.28,30027,0,0,0,0,0,0,0,0,1,0
18365.47,66,0,1,0,0,0,0,0,0,0,0
13377.87,30070,0,0,0,0,0,0,0,0,1,0
31282.08,187,1,0,0,0,0,0,0,0,0,0
17066.73,131,0,0,0,1,0,0,0,0,0,0
5015.72,156,0,0,1,0,0,0,0,0,0,0
38826.6,221,0,0,1,0,0,0,0,0,0,0
43513.32,32,0,0,0,0,0,0,0,1,0,0
28638.4,269,0,0,0,0,0,0,1,0,0,0
34377.11,340,1,0,0,0,0,0,0,0,0,0
7808.25,195,0,0,0,1,0,0,0,0,0,0
15873.34,151,0,1,0,0,0,0,0,0,0,0
12244.43,256,0,0,0,0,0,1,0,0,0,0
948.56,128,0,0,0,1,0,0,0,0,0,0
21691.07,242,0,0,0,0,0,0,0,1,0,0
47893.43,186,0,0,0,0,0,1,0,0,0,0
35751.59,139,0,1,0,0,0,0,0,0,0,0
23619.61,30114,0,0,0,0,0,1,0,0,0,0
3942.78,113,0,0,0,1,0,0,0,0,0,0
3997.14,150,1,0,0,0,0,0,0,0,0,0
29905.07,11,0,0,1,0,0,0,0,0,0,0
28281.76,30090,0,0,0,0,0,0,0,0,1,0
4879.88,345,0,0,0,0,0,1,0,0,0,0
17056.12,30128,0,0,0,0,0,0,0,1,0,0
23613.2,242,0,1,0,0,0,0,0,0,0,0
26430.39,30044,0,0,0,0,0,0,0,0,1,0
19107.21,109,0,0,1,0,0,0,0,0,0,0
7454.62,51,0,0,0,1,0,0,0,0,0,0
15874.96,206,0,0,0,0,0,0,0,0,0,1
17434.06,332,0,0,0,0,1,0,0,0,0,0
