trans_amount,avail_credit,account_age,is_Client Expenses,is_Office Supplies,is_Payroll,is_Rent,is_Utilities,is_Vendor Payments,"is_Agriculture, Forestry, And Fishing",is_Construction,"is_Finance, Insurance, And Real Estate",is_Retail Trade,is_Wholesale Trade,metro_encoded,income_encoded
604.73,18306.4,348,0,1,0,0,0,0,0,1,0,0,0,1940,4
1501.73,28009.03,721,0,0,0,0,1,0,0,0,0,0,1,1940,4
719.28,9404.0,419,0,0,0,0,0,1,0,0,1,0,0,1940,3
968.65,6164.49,685,0,0,1,0,0,0,0,0,0,0,1,1940,1
798.1,18584.8,699,0,0,0,0,0,1,1,0,0,0,0,1873,3
822.31,47637.98,384,0,0,0,0,0,1,0,1,0,0,0,1940,2
27.7,43813.6,267,0,1,0,0,0,0,0,0,0,1,0,1906,4
1900.34,47059.02,430,0,0,0,0,1,0,0,0,1,0,0,1940,4
880.37,25254.95,334,0,0,0,0,1,0,0,0,0,0,1,1688,2
677.34,31961.02,515,1,0,0,0,0,0,0,0,0,1,0,1940,2
39.33,48427.84,674,0,0,0,1,0,0,0,1,0,0,0,1688,4
695.26,34354.54,509,0,0,0,1,0,0,0,1,0,0,0,1873,4
1250.53,27948.61,587,0,1,0,0,0,0,0,1,0,0,0,1873,4
912.06,15594.37,259,0,1,0,0,0,0,1,0,0,0,0,1688,1
36.05,11235.75,715,0,0,0,0,1,0,1,0,0,0,0,1940,4
1489.36,38687.62,725,0,1,0,0,0,0,0,0,0,0,1,1964,0
398.86,5058.18,329,0,0,1,0,0,0,1,0,0,0,0,1906,4
1602.86,16722.19,178,0,1,0,0,0,0,0,1,0,0,0,1964,4
795.3,18790.47,143,0,0,0,1,0,0,1,0,0,0,0,1940,0
1337.91,40097.11,165,0,0,0,1,0,0,0,0,0,1,0,1873,3
1606.09,15210.14,62,0,0,0,0,0,1,1,0,0,0,0,1964,3
966.89,33733.88,528,0,0,0,0,0,1,0,0,1,0,0,1688,3
479.21,18818.74,207,1,0,0,0,0,0,0,0,0,0,1,1688,2
158.82,1794.39,600,0,1,0,0,0,0,1,0,0,0,0,1940,1
1496.47,15921.64,5,0,0,0,1,0,0,0,0,1,0,0,1873,2
565.74,30465.57,533,0,0,0,1,0,0,0,0,0,0,1,1940,4
4.11,22371.08,354,0,0,0,1,0,0,0,0,0,1,0,1906,4
860.4,62.51,13,0,0,0,0,1,0,0,0,1,0,0,1688,2
1150.17,26155.95,271,0,0,0,0,0,1,0,0,1,0,0,1940,4
1196.11,32139.32,461,0,0,0,1,0,0,1,0,0,0,0,1906,3
105.94,8910.94,530,0,1,0,0,0,0,0,0,1,0,0,1964,0
600.69,26052.8,576,0,0,0,0,1,0,0,0,0,1,0,1873,0
910.74,44847.91,677,0,0,0,1,0,0,1,0,0,0,0,1906,4
422.32,31532.63,156,0,0,0,0,1,0,0,0,0,0,1,1873,2
1548.39,32911.91,690,1,0,0,0,0,0,0,1,0,0,0,1964,1
1389.34,15688.46,644,0,1,0,0,0,0,0,0,1,0,0,1964,2
997.2,29221.52,256,1,0,0,0,0,0,0,0,0,1,0,1906,3
910.02,47647.72,9,0,0,1,0,0,0,0,0,1,0,0,1873,0
445.52,45654.41,675,0,0,1,0,0,0,0,0,0,1,0,1964,0
1340.53,29433.56,148,0,0,1,0,0,0,0,1,0,0,0,1940,0
877.71,151.72,262,0,0,0,0,1,0,1,0,0,0,0,1906,3
194.91,14207.13,553,0,0,1,0,0,0,0,1,0,0,0,1964,3
1022.35,10519.54,728,0,1,0,0,0,0,0,0,1,0,0,1964,2
1751.73,36421.86,562,0,1,0,0,0,0,0,0,0,1,0,1906,1
419.71,38375.46,672,0,0,0,1,0,0,0,0,0,1,0,1964,0
1787.2,45818.86,664,0,0,0,1,0,0,0,0,1,0,0,1873,3
961.37,45090.61,393,1,0,0,0,0,0,0,0,0,0,1,1964,2
665.06,45151.4,64,0,0,1,0,0,0,1,0,0,0,0,1906,3
777.81,46698.56,264,0,0,0,0,1,0,1,0,0,0,0,1940,1
1938.54,47184.01,442,0,0,0,1,0,0,0,0,1,0,0,1906,0
1857.78,19442.2,611,1,0,0,0,0,0,0,0,1,0,0,1940,0
429.76,37620.38,678,0,0,1,0,0,0,0,0,0,0,1,1688,0
1401.99,30959.42,593,0,0,0,1,0,0,1,0,0,0,0,1873,3
786.55,47290.57,322,0,0,0,0,0,1,0,0,0,1,0,1906,1
1436.48,2834.74,410,0,1,0,0,0,0,0,0,1,0,0,1964,1
785.0,8801.26,575,0,0,1,0,0,0,0,0,0,0,1,1873,0
1338.41,35903.46,478,0,0,0,1,0,0,1,0,0,0,0,1964,1
1716.33,10131.15,422,0,0,0,0,0,1,0,1,0,0,0,1688,2
426.57,35027.33,4,0,1,0,0,0,0,0,0,1,0,0,1940,0
1283.9,47925.3,274,0,0,0,0,0,1,0,0,0,0,1,1964,0
1306.95,9377.63,30,0,1,0,0,0,0,0,0,0,1,0,1964,2
1265.97,44605.73,293,0,0,0,0,0,1,0,0,0,0,1,1964,1
1209.76,15231.59,399,0,0,1,0,0,0,1,0,0,0,0,1873,1
824.39,15401.04,635,0,0,0,1,0,0,1,0,0,0,0,1873,3
853.69,2151.71,139,0,0,0,0,0,1,0,1,0,0,0,1964,0
1124.04,42387.71,329,1,0,0,0,0,0,0,0,1,0,0,1964,1
294.06,29361.52,181,0,0,0,0,0,1,0,0,0,1,0,1964,4
329.55,7205.81,573,0,0,0,0,1,0,1,0,0,0,0,1940,0
618.11,34974.52,244,0,1,0,0,0,0,0,0,0,1,0,1688,0
404.52,2237.92,216,0,0,0,0,0,1,0,0,1,0,0,1688,2
663.06,41090.45,247,0,0,0,0,0,1,0,0,1,0,0,1964,0
1380.53,34389.1,690,0,0,1,0,0,0,1,0,0,0,0,1940,0
78.2,36449.41,239,0,0,0,0,1,0,0,1,0,0,0,1688,0
1415.11,43615.24,9,0,0,0,0,0,1,1,0,0,0,0,1873,4
1141.7,49683.22,168,0,0,1,0,0,0,0,1,0,0,0,1873,0
658.78,4476.75,633,0,1,0,0,0,0,0,0,0,0,1,1964,0
225.14,5742.7,475,0,0,1,0,0,0,1,0,0,0,0,1873,3
482.45,37978.61,380,0,0,0,0,1,0,0,0,1,0,0,1688,0
1863.97,34629.35,130,0,1,0,0,0,0,0,0,1,0,0,1873,2
772.14,46835.08,605,0,1,0,0,0,0,1,0,0,0,0,1964,1
1034.59,16722.74,721,0,0,1,0,0,0,1,0,0,0,0,1688,2
1975.46,25496.04,615,1,0,0,0,0,0,0,0,1,0,0,1906,0
1935.04,27433.1,76,0,0,0,0,0,1,1,0,0,0,0,1688,4
193.86,6592.69,586,1,0,0,0,0,0,1,0,0,0,0,1873,0
601.06,8245.34,116,0,1,0,0,0,0,0,0,0,0,1,1688,0
243.34,9737.31,479,0,1,0,0,0,0,0,1,0,0,0,1964,1
543.99,43109.76,359,0,0,1,0,0,0,0,1,0,0,0,1688,1
490.3,47175.18,555,0,0,0,0,0,1,0,0,1,0,0,1940,2
1719.61,15950.08,692,0,0,0,0,0,1,0,1,0,0,0,1940,3
961.12,42255.08,111,0,0,0,0,0,1,0,0,0,0,1,1873,3
1833.25,42733.91,516,0,0,0,0,1,0,0,0,0,0,1,1906,1
47.19,44584.76,265,1,0,0,0,0,0,0,0,0,1,0,1940,2
720.83,17442.28,660,0,1,0,0,0,0,1,0,0,0,0,1688,1
101.03,2336.25,314,0,0,0,0,0,1,0,0,0,1,0,1964,3
1813.62,16325.56,659,1,0,0,0,0,0,0,0,1,0,0,1940,2
646.6,13312.93,33,0,1,0,0,0,0,0,0,1,0,0,1688,0
1668.08,40481.35,504,0,0,0,0,1,0,0,1,0,0,0,1873,1
1481.83,38281.64,18,0,0,0,1,0,0,1,0,0,0,0,1940,0
675.31,23520.22,441,0,1,0,0,0,0,1,0,0,0,0,1940,0
1487.41,10358.61,210,0,0,1,0,0,0,0,0,0,1,0,1940,0
615.88,36405.42,395,0,0,0,0,0,1,1,0,0,0,0,1688,1
1600.8,41383.17,376,0,0,0,1,0,0,1,0,0,0,0,1964,3
1114.31,39733.1,649,0,0,1,0,0,0,0,0,0,0,1,1964,0
1727.94,27289.96,227,1,0,0,0,0,0,1,0,0,0,0,1940,0
1688.09,35792.52,551,1,0,0,0,0,0,1,0,0,0,0,1940,4
334.57,41695.2,140,0,1,0,0,0,0,0,0,0,0,1,1688,0
342.87,14598.67,344,0,0,1,0,0,0,1,0,0,0,0,1906,0
1931.09,14242.59,490,0,0,1,0,0,0,0,0,0,1,0,1873,4
1369.18,9105.31,229,0,0,1,0,0,0,0,0,0,0,1,1873,0
263.81,20625.76,38,1,0,0,0,0,0,0,1,0,0,0,1964,0
1599.36,20511.8,457,0,0,0,0,1,0,0,1,0,0,0,1940,4
1506.07,9424.16,268,1,0,0,0,0,0,0,0,0,0,1,1688,3
1431.92,11647.56,23,0,0,0,0,1,0,0,1,0,0,0,1688,2
775.93,31896.75,658,0,0,0,0,0,1,0,1,0,0,0,1964,4
1113.62,21478.67,162,0,0,0,0,0,1,1,0,0,0,0,1964,0
1502.02,22678.55,411,0,0,0,1,0,0,0,1,0,0,0,1940,2
1068.22,17126.01,0,0,0,0,1,0,0,0,1,0,0,0,1688,2
355.47,23413.6,357,0,1,0,0,0,0,0,0,0,0,1,1964,4
1799.17,41002.89,635,1,0,0,0,0,0,0,0,0,1,0,1873,0
113.87,5444.68,700,0,1,0,0,0,0,0,1,0,0,0,1873,2
83.91,28074.23,684,0,1,0,0,0,0,1,0,0,0,0,1906,3
1327.41,5949.29,713,0,0,1,0,0,0,0,1,0,0,0,1873,1
1464.12,23119.32,262,1,0,0,0,0,0,0,0,0,0,1,1964,3
664.02,6776.67,224,1,0,0,0,0,0,1,0,0,0,0,1688,4
901.29,13660.34,167,0,1,0,0,0,0,0,1,0,0,0,1873,1
1595.68,13815.81,727,0,0,0,1,0,0,0,0,0,0,1,1964,2
1871.63,9883.95,548,0,0,0,0,1,0,0,1,0,0,0,1873,1
207.5,22780.83,411,0,0,0,1,0,0,0,0,0,1,0,1940,2
1595.07,5262.77,389,1,0,0,0,0,0,0,0,1,0,0,1940,1
1705.83,3278.53,410,0,1,0,0,0,0,0,0,0,1,0,1964,4
1191.1,7798.2,89,0,0,0,1,0,0,0,1,0,0,0,1906,3
1189.88,30582.12,521,0,0,0,0,1,0,0,0,1,0,0,1906,2
500.66,7887.03,453,0,1,0,0,0,0,0,0,1,0,0,1688,3
1103.3,41632.81,214,0,1,0,0,0,0,0,0,0,1,0,1964,0
1753.22,39463.54,457,0,0,0,0,1,0,0,0,0,0,1,1906,2
1828.0,10116.22,478,0,0,0,0,0,1,0,0,1,0,0,1964,4
68.26,5278.04,471,1,0,0,0,0,0,0,0,0,1,0,1873,2
777.23,33433.03,41,0,0,0,0,1,0,0,1,0,0,0,1964,2
497.0,19565.03,290,0,0,0,1,0,0,0,1,0,0,0,1906,1
345.06,9198.59,312,0,1,0,0,0,0,0,0,1,0,0,1688,3
1376.73,43119.1,426,0,0,0,1,0,0,1,0,0,0,0,1688,3
1436.78,35614.72,106,0,0,0,0,1,0,1,0,0,0,0,1873,1
1487.53,38987.04,583,1,0,0,0,0,0,0,1,0,0,0,1906,4
1563.05,19668.73,335,0,0,0,0,0,1,0,0,0,1,0,1940,0
1170.78,31860.96,2,0,0,0,0,0,1,0,0,0,1,0,1940,2
1996.83,2593.52,690,0,0,0,0,1,0,1,0,0,0,0,1873,0
1330.7,36988.48,421,0,1,0,0,0,0,0,0,0,1,0,1940,4
1521.75,16020.44,140,1,0,0,0,0,0,0,0,0,1,0,1873,2
1033.52,23859.98,72,0,1,0,0,0,0,1,0,0,0,0,1688,3
967.41,28469.79,92,0,1,0,0,0,0,0,0,0,1,0,1688,4
1601.42,21544.38,602,0,0,0,0,0,1,0,0,0,0,1,1964,4
1997.05,18653.13,117,0,0,0,1,0,0,0,1,0,0,0,1906,1
134.45,27923.23,388,0,0,0,0,1,0,0,0,1,0,0,1940,2
852.12,32325.25,648,0,1,0,0,0,0,0,0,0,0,1,1964,3
1480.02,8673.12,439,0,0,0,0,1,0,0,0,0,0,1,1873,1
640.98,17421.62,8,0,0,0,0,0,1,1,0,0,0,0,1873,4
477.14,25725.39,156,0,1,0,0,0,0,0,0,0,0,1,1940,4
440.18,42924.36,686,0,0,1,0,0,0,0,0,1,0,0,1906,4
1782.12,21617.73,185,0,0,0,0,1,0,0,0,1,0,0,1940,0
1965.18,26172.9,638,0,0,1,0,0,0,0,0,0,1,0,1964,0
109.53,28546.64,184,0,0,0,0,1,0,0,1,0,0,0,1873,4
124.0,29712.36,453,0,0,0,1,0,0,0,0,0,0,1,1940,0
1733.89,25402.43,332,0,1,0,0,0,0,0,0,0,0,1,1873,4
1331.65,17091.75,249,0,0,0,0,1,0,0,1,0,0,0,1873,0
1732.68,37616.48,663,0,1,0,0,0,0,0,0,1,0,0,1940,2
48.48,33805.41,484,0,0,0,0,0,1,0,1,0,0,0,1964,1
78.56,33564.92,571,0,0,0,1,0,0,0,0,0,1,0,1873,4
1477.14,35010.5,364,0,0,0,1,0,0,0,0,0,1,0,1940,0
429.24,33940.7,179,0,0,0,1,0,0,0,0,1,0,0,1873,0
1504.09,4150.21,576,0,0,0,0,0,1,0,1,0,0,0,1873,2
264.59,431.8,499,1,0,0,0,0,0,0,0,0,0,1,1873,3
685.69,3422.38,222,0,0,1,0,0,0,0,0,0,0,1,1964,4
1825.12,32250.88,524,0,0,1,0,0,0,0,0,0,0,1,1688,3
415.06,43649.31,689,0,0,0,1,0,0,0,0,1,0,0,1940,3
657.0,9905.38,373,0,0,0,0,1,0,1,0,0,0,0,1688,3
1912.19,39708.05,339,0,0,0,1,0,0,0,0,0,1,0,1964,1
1386.26,41045.29,75,0,0,1,0,0,0,0,0,0,1,0,1964,2
1237.16,10458.77,673,0,1,0,0,0,0,0,0,0,1,0,1964,1
1502.33,16526.41,205,0,0,0,0,1,0,1,0,0,0,0,1964,3
1200.71,23664.54,467,0,0,0,1,0,0,0,0,0,1,0,1873,1
930.0,44722.63,586,0,0,0,0,1,0,1,0,0,0,0,1873,2
1029.63,33915.95,77,0,1,0,0,0,0,0,0,0,1,0,1873,4
1655.63,39269.56,627,0,0,0,0,0,1,1,0,0,0,0,1964,4
1705.45,24050.06,659,0,0,0,1,0,0,0,0,0,1,0,1940,0
1115.49,30769.62,405,0,0,0,0,0,1,0,1,0,0,0,1906,1
1271.8,21497.3,585,0,0,0,0,0,1,1,0,0,0,0,1688,3
596.23,30351.07,150,1,0,0,0,0,0,0,0,1,0,0,1873,2
1723.98,21265.74,606,0,0,0,0,0,1,0,0,0,1,0,1906,4
776.3,12530.92,506,1,0,0,0,0,0,0,0,0,1,0,1940,2
1929.57,31620.46,478,0,1,0,0,0,0,1,0,0,0,0,1906,1
226.73,32985.75,644,0,0,0,0,1,0,1,0,0,0,0,1688,2
1339.94,37895.18,212,0,0,0,0,0,1,1,0,0,0,0,1906,2
1118.52,2836.38,192,0,0,0,0,0,1,0,0,0,0,1,1873,4
818.48,28986.43,726,0,0,0,0,0,1,0,0,0,0,1,1873,1
1877.58,10544.67,720,0,0,1,0,0,0,0,0,0,0,1,1906,0
1581.55,31308.83,239,0,0,0,0,1,0,1,0,0,0,0,1906,4
1007.49,5684.25,606,0,1,0,0,0,0,0,0,0,0,1,1906,1
1661.49,9456.27,347,0,0,0,0,1,0,1,0,0,0,0,1964,4
1319.04,11387.94,41,0,0,0,1,0,0,0,0,1,0,0,1964,0
387.2,24451.07,530,0,0,0,0,0,1,0,0,1,0,0,1906,3
1400.95,2188.25,607,1,0,0,0,0,0,1,0,0,0,0,1940,0
632.7,46825.77,312,0,0,0,0,0,1,0,0,1,0,0,1906,2
813.12,15004.61,373,0,1,0,0,0,0,1,0,0,0,0,1906,0
564.94,8431.6,288,0,0,0,1,0,0,0,0,0,0,1,1906,4
426.2,31545.01,263,0,1,0,0,0,0,1,0,0,0,0,1873,4
1742.81,2911.19,643,0,0,0,0,1,0,0,0,1,0,0,1964,0
755.73,16048.93,429,0,0,0,0,1,0,1,0,0,0,0,1873,4
769.09,10528.3,541,0,1,0,0,0,0,0,0,0,0,1,1940,4
1658.92,40997.91,422,1,0,0,0,0,0,0,0,1,0,0,1688,3
699.12,39997.31,208,0,0,0,1,0,0,0,1,0,0,0,1873,2
680.77,32179.41,607,0,0,1,0,0,0,0,1,0,0,0,1964,3
684.07,17814.59,287,0,1,0,0,0,0,0,0,1,0,0,1873,2
380.05,31305.61,82,0,0,1,0,0,0,0,0,0,0,1,1688,4
1255.07,35914.37,301,0,0,1,0,0,0,0,0,0,0,1,1688,1
318.62,30444.92,502,1,0,0,0,0,0,0,0,1,0,0,1940,2
245.36,12368.72,196,0,0,1,0,0,0,0,1,0,0,0,1906,4
273.38,25322.88,620,1,0,0,0,0,0,0,0,1,0,0,1873,0
1126.01,22810.54,330,0,0,0,1,0,0,0,0,1,0,0,1688,2
200.71,28989.67,381,0,0,0,1,0,0,0,1,0,0,0,1940,3
1157.0,17358.29,419,0,1,0,0,0,0,0,0,0,0,1,1940,2
1442.97,39051.32,288,0,0,0,0,0,1,1,0,0,0,0,1873,2
1122.74,27112.84,633,0,0,0,0,1,0,0,1,0,0,0,1940,0
26.92,44663.46,488,0,0,0,1,0,0,0,1,0,0,0,1906,2
287.18,12565.44,285,0,0,0,0,1,0,0,1,0,0,0,1940,0
548.46,18169.19,580,1,0,0,0,0,0,0,1,0,0,0,1873,1
1166.59,37250.63,404,0,1,0,0,0,0,1,0,0,0,0,1688,3
838.4,40015.93,433,1,0,0,0,0,0,0,1,0,0,0,1964,4
1005.78,36206.1,623,1,0,0,0,0,0,0,1,0,0,0,1688,1
521.67,34303.93,60,0,0,1,0,0,0,0,1,0,0,0,1964,2
1156.7,23885.66,229,0,0,0,0,1,0,0,0,1,0,0,1964,0
190.19,16705.96,290,0,0,0,0,1,0,0,0,1,0,0,1873,0
1652.89,17055.13,716,0,0,0,0,0,1,0,0,0,0,1,1873,3
312.52,9833.34,119,0,0,0,0,0,1,0,0,0,1,0,1964,0
1625.8,7713.29,51,0,0,0,0,1,0,0,1,0,0,0,1873,3
1209.35,11337.02,706,0,0,0,1,0,0,0,0,1,0,0,1688,1
888.49,32410.09,393,0,0,0,0,1,0,0,0,1,0,0,1940,4
755.16,6931.56,511,1,0,0,0,0,0,0,0,0,0,1,1873,4
80.87,29190.98,4,1,0,0,0,0,0,0,0,0,1,0,1873,1
1984.14,32637.36,704,0,0,0,0,0,1,0,1,0,0,0,1964,0
1159.26,39525.59,480,1,0,0,0,0,0,0,0,0,0,1,1906,0
380.86,38674.69,399,0,0,1,0,0,0,0,0,0,1,0,1964,0
1113.72,36415.52,506,1,0,0,0,0,0,0,0,0,0,1,1873,4
1493.65,3938.05,607,0,1,0,0,0,0,1,0,0,0,0,1964,0
480.19,33558.12,197,0,1,0,0,0,0,0,1,0,0,0,1906,3
1823.94,10379.75,216,1,0,0,0,0,0,0,1,0,0,0,1906,2
1663.74,46965.52,1,0,0,0,0,0,1,1,0,0,0,0,1940,3
967.59,24950.89,155,0,0,0,1,0,0,1,0,0,0,0,1873,4
1965.61,31215.04,667,0,0,0,0,0,1,0,0,0,0,1,1964,2
422.83,44235.05,423,0,1,0,0,0,0,1,0,0,0,0,1906,4
1788.96,40083.72,37,0,0,1,0,0,0,0,0,0,0,1,1906,0
667.91,44061.94,420,0,0,0,1,0,0,0,1,0,0,0,1688,4
913.2,10870.24,715,0,0,0,1,0,0,0,0,1,0,0,1906,4
607.85,6537.1,150,1,0,0,0,0,0,0,1,0,0,0,1940,0
1309.81,18979.16,404,0,0,0,1,0,0,0,0,1,0,0,1688,3
1944.37,5137.3,407,0,0,1,0,0,0,1,0,0,0,0,1688,3
1807.48,38256.09,234,1,0,0,0,0,0,0,0,1,0,0,1964,0
94.46,9745.01,14,0,0,0,0,0,1,0,0,1,0,0,1964,4
1472.93,12931.86,211,0,0,0,0,1,0,0,0,0,0,1,1906,4
589.99,48896.92,451,0,0,0,0,1,0,0,1,0,0,0,1873,1
1807.5,8885.12,681,0,0,1,0,0,0,1,0,0,0,0,1964,2
735.08,29150.42,414,0,0,1,0,0,0,0,1,0,0,0,1873,1
357.26,24766.77,505,0,0,1,0,0,0,1,0,0,0,0,1964,0
616.76,13681.1,222,0,0,0,1,0,0,0,0,0,0,1,1940,0
914.05,22265.24,351,0,1,0,0,0,0,1,0,0,0,0,1873,0
1702.5,38051.0,397,0,0,0,0,1,0,1,0,0,0,0,1964,2
1430.49,23181.97,469,0,0,0,1,0,0,0,0,1,0,0,1873,3
1621.94,38877.34,59,0,1,0,0,0,0,0,0,1,0,0,1940,4
1237.61,31549.69,288,0,0,0,0,0,1,1,0,0,0,0,1688,4
145.5,45926.52,47,1,0,0,0,0,0,0,1,0,0,0,1940,2
495.29,18174.09,296,0,0,0,0,1,0,0,0,0,1,0,1688,4
1201.38,38646.4,393,0,0,0,0,1,0,0,1,0,0,0,1873,1
1253.43,32218.19,300,0,0,0,0,1,0,0,0,0,0,1,1964,4
1009.23,2163.16,501,0,0,0,0,1,0,0,0,0,1,0,1688,2
1324.63,7480.14,79,0,0,0,1,0,0,0,0,0,0,1,1873,3
1565.93,767.42,656,1,0,0,0,0,0,0,0,1,0,0,1964,3
1225.9,12107.9,371,0,0,0,0,1,0,0,0,0,1,0,1688,1
397.82,25658.83,27,0,0,1,0,0,0,0,0,0,1,0,1688,2
787.22,28985.36,340,0,0,0,1,0,0,0,0,0,1,0,1964,0
831.84,7389.85,423,0,0,0,0,1,0,1,0,0,0,0,1688,1
24.23,47332.5,355,0,1,0,0,0,0,0,0,1,0,0,1873,4
1617.42,31497.0,658,0,0,0,0,1,0,0,1,0,0,0,1940,1
1018.39,37862.94,82,0,1,0,0,0,0,1,0,0,0,0,1873,1
1360.48,37112.98,454,1,0,0,0,0,0,0,0,0,0,1,1940,3
448.1,35875.15,265,0,0,0,0,0,1,0,1,0,0,0,1873,1
896.14,16712.6,275,0,0,0,1,0,0,1,0,0,0,0,1964,3
854.67,37929.57,22,0,0,0,0,0,1,0,1,0,0,0,1688,1
1031.65,6330.81,198,0,1,0,0,0,0,0,1,0,0,0,1940,2
1496.01,13329.37,464,0,0,0,1,0,0,0,0,0,1,0,1873,3
930.09,8678.73,353,0,0,0,0,1,0,1,0,0,0,0,1964,1
1571.66,39644.64,90,0,1,0,0,0,0,0,0,1,0,0,1873,1
1487.77,45141.92,363,0,1,0,0,0,0,0,0,0,0,1,1688,0
858.25,15836.35,234,0,0,0,1,0,0,0,0,0,0,1,1964,0
755.98,42149.62,487,0,0,0,1,0,0,1,0,0,0,0,1940,1
1472.88,27343.54,386,0,0,0,0,1,0,0,0,0,1,0,1964,0
1019.36,4706.77,314,0,0,0,1,0,0,0,0,0,1,0,1964,1
866.32,46078.23,593,0,0,0,0,1,0,0,1,0,0,0,1964,0
1827.83,28292.86,20,0,0,0,0,1,0,0,1,0,0,0,1940,2
1404.99,18343.98,466,0,0,0,0,1,0,0,0,0,0,1,1873,1
1825.45,13111.13,329,1,0,0,0,0,0,0,0,1,0,0,1964,4
1276.71,21283.87,52,0,0,0,0,0,1,0,1,0,0,0,1964,1
494.41,20016.73,213,0,0,0,0,0,1,0,0,0,0,1,1873,2
134.35,21650.0,554,0,0,0,1,0,0,1,0,0,0,0,1906,2
1399.21,20570.69,588,0,0,0,0,1,0,0,0,1,0,0,1688,2
515.48,36938.73,81,0,1,0,0,0,0,0,0,0,0,1,1964,1
1640.08,47760.08,724,0,1,0,0,0,0,1,0,0,0,0,1906,0
930.01,19738.99,459,0,0,0,0,0,1,1,0,0,0,0,1873,1
1200.03,22666.95,422,0,0,0,0,1,0,0,0,0,0,1,1940,1
40.32,6105.31,540,0,0,0,0,1,0,1,0,0,0,0,1873,0
1038.49,7368.54,172,1,0,0,0,0,0,0,1,0,0,0,1940,1
560.24,33765.58,4,0,0,0,0,0,1,0,0,0,0,1,1873,3
405.43,36794.1,247,0,1,0,0,0,0,0,0,0,0,1,1964,2
836.1,47177.77,27,0,0,0,0,1,0,1,0,0,0,0,1940,2
1985.31,6261.3,100,0,0,0,0,0,1,0,0,1,0,0,1873,0
949.8,6772.31,659,0,0,0,0,1,0,0,0,1,0,0,1906,2
1473.44,14811.84,174,0,0,1,0,0,0,0,0,0,0,1,1940,0
658.36,41156.7,89,0,0,0,1,0,0,0,1,0,0,0,1964,1
1241.52,2825.19,37,0,0,0,0,0,1,0,0,1,0,0,1940,2
1796.64,36819.73,388,1,0,0,0,0,0,0,0,1,0,0,1940,0
1865.91,2202.42,538,1,0,0,0,0,0,1,0,0,0,0,1688,4
167.29,39253.4,373,0,0,0,0,1,0,0,1,0,0,0,1906,3
388.49,25123.19,69,0,0,0,0,1,0,0,0,0,0,1,1906,1
1805.5,47502.99,341,1,0,0,0,0,0,0,1,0,0,0,1964,0
1695.27,46153.58,315,0,0,0,0,1,0,0,0,0,0,1,1906,3
457.24,20090.15,37,0,0,0,1,0,0,0,1,0,0,0,1906,2
1655.61,35291.84,323,0,0,0,1,0,0,0,0,0,1,0,1906,3
